"parameter","mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","Rhat","n.eff"
"xi[48,4]",3.45733333333333,0.85191244101606,2,3,3,4,5,1.00250221227199,1000
"xi[49,4]",4.26666666666667,0.829327931014792,3,4,4,5,5,1.00947937421443,230
"xi[50,4]",4.68766666666667,0.57407119895478,3,4,5,5,5,1.01048270599362,290
"xi[51,4]",2.82266666666667,0.661840035783983,2,2,3,3,4,1.00444153734622,510
"xi[52,4]",4.632,0.620782670270283,3,4,5,5,5,1.01402656456614,210
"xi[53,4]",3.52633333333333,0.8423437955563,2,3,3,4,5,1.00093568454644,3000
"xi[54,4]",4.28166666666667,0.820094348516709,3,4,5,5,5,1.00484522484228,460
"xi[55,4]",4.673,0.574613835852785,3,4,5,5,5,1.00899290967833,260
"xi[56,4]",1.63133333333333,0.534958206139814,1,1,2,2,3,1.0006498949277,3000
"xi[57,4]",2.59966666666667,0.554528980023092,2,2,3,3,4,1.01543005089716,140
"xi[58,4]",4.62033333333333,0.619393067025602,3,4,5,5,5,1.00999344912611,230
"xi[59,4]",4.68966666666667,0.564623315776511,3,4,5,5,5,1.00777885680152,380
"xi[60,4]",1.85933333333333,0.519906712675954,1,2,2,2,3,1.00414733748073,660
"xi[61,4]",3.62966666666667,0.884372052285977,2,3,3,4,5,1.00420560762033,540
"xi[62,4]",4.139,0.855914635514408,3,3,4,5,5,1.00873174570672,250
"xi[63,4]",4.732,0.529404781940102,3,5,5,5,5,1.01884073414038,200
"xi[64,4]",4.78933333333333,0.475073454479697,3,5,5,5,5,1.01871120143278,210
"xi[65,4]",4.061,0.888186518566861,3,3,4,5,5,1.00538093237638,410
"xi[66,4]",2.38933333333333,0.598224188423895,1,2,2,3,3,1.00411971489051,550
"xi[67,4]",2.82033333333333,0.660453345636775,2,2,3,3,4,1.00810370511219,270
"xi[68,4]",3.49166666666667,0.878742255464822,2,3,3,4,5,1.00429364831779,530
"xi[69,4]",4.38433333333333,0.787079657352351,3,4,5,5,5,1.0096077267848,260
"xi[70,4]",3.593,0.867334089499313,2,3,3,4,5,1.00138428520257,2300
"xi[71,4]",3.02233333333333,0.727560538375483,2,3,3,3,5,1.00644303704268,340
"xi[72,4]",2.86366666666667,0.678650679267603,2,2,3,3,4,1.00392698800828,650
